SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
1;144529471293;2016-08-11;22;190;134;8;24;97;22;1;16;0;119;139;0;21;174;15;24;24;262;19;160;129;22;39;17
2;144529471293;2016-08-12;23;179;2150;37;92;230;155;1;15;4;2034;141;0;22;164;116;92;88;2291;23;153;2125;40;87;78
3;144529471293;2016-08-13;20;56;66;2;0;42;11;0;17;1;0;0;0;20;39;66;0;0;84;20;22;55;0;17;7
4;144529471293;2016-08-14;23;83;448;21;0;67;9;1;16;1;370;24;0;22;67;78;0;0;487;22;51;435;0;18;6
5;144529471293;2016-08-15;73;220;504;33;114;103;36;1;27;6;242;153;0;72;193;262;114;111;601;52;157;401;56;37;22
6;144529471293;2016-08-16;257;541;1651;1863;316;172;94;2;71;49;32;33;0;255;470;1619;316;316;1723;130;396;1200;146;71;49
7;144529471293;2016-08-17;81;126;444;6;0;108;35;1;36;11;120;11;0;80;90;324;0;0;379;48;53;305;0;45;20
8;144529471293;2016-08-18;51;127;739;53;11;151;63;1;26;12;592;48;0;50;101;147;11;11;813;44;75;693;11;69;28
9;144529471293;2016-08-19;106;112;630;10;0;56;24;1;29;29;30;6;0;105;83;600;0;0;451;58;60;361;0;32;16
10;144529471293;2016-08-20;82;50;533;5;0;56;34;0;18;43;0;0;0;82;32;533;0;0;348;48;24;297;0;24;14
11;144529471293;2016-08-21;113;110;1110;15;0;81;37;1;23;61;391;23;0;112;87;719;0;0;986;53;74;885;0;45;22
12;144529471293;2016-08-22;36;211;429;23;33;155;58;1;21;8;383;143;0;35;190;46;33;29;620;29;166;408;28;73;48
13;144529471293;2016-08-23;29;1859;1001;96;125;463;39;1;26;0;924;1802;0;28;1833;77;125;122;2113;28;1810;990;112;143;30
14;144529471293;2016-08-24;29;83;236;5;0;98;44;1;23;3;195;16;0;28;60;41;0;0;280;28;39;228;0;25;17
15;144529471293;2016-08-25;42;157;1347;80;23;143;45;1;32;4;1111;62;0;41;125;236;23;22;1416;38;97;1306;23;61;32
16;144529471293;2016-08-26;27;44;112;4;0;50;24;1;19;1;34;6;0;26;25;78;0;0;139;25;21;98;0;26;13
17;144529471293;2016-08-27;17;40;14;0;0;49;26;0;15;0;0;0;0;17;25;14;0;0;37;13;17;12;0;13;15
18;144529471293;2016-08-28;28;71;73;9;0;73;24;0;26;0;0;0;0;28;45;73;0;0;120;28;36;66;0;26;13
19;144529471293;2016-08-29;37;134;432;30;1;84;35;1;29;1;313;30;0;36;105;119;1;1;504;34;71;412;1;34;20
20;144529471293;2016-08-30;43;129;755;22;4;174;76;1;31;7;543;31;0;42;98;212;4;4;820;39;72;726;4;49;35
